id,products,total,discountedTotal,userId,totalProducts,totalQuantity
128,"[{'id': 147, 'title': 'Football', 'price': 17.99, 'quantity': 1, 'total': 17.99, 'discountPercentage': 5.15, 'discountedTotal': 17.06, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/football/thumbnail.webp'}, {'id': 78, 'title': 'Apple MacBook Pro 14 Inch Space Grey', 'price': 1999.99, 'quantity': 5, 'total': 9999.95, 'discountPercentage': 4.69, 'discountedTotal': 9530.95, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp'}, {'id': 4, 'title': 'Red Lipstick', 'price': 12.99, 'quantity': 3, 'total': 38.97, 'discountPercentage': 12.16, 'discountedTotal': 34.23, 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp'}, {'id': 173, 'title': ""Heshe Women's Leather Bag"", 'price': 129.99, 'quantity': 1, 'total': 129.99, 'discountPercentage': 3.87, 'discountedTotal': 124.96, 'thumbnail': ""https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/thumbnail.webp""}, {'id': 57, 'title': 'Fine Mesh Strainer', 'price': 9.99, 'quantity': 5, 'total': 49.95, 'discountPercentage': 3.5, 'discountedTotal': 48.2, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp'}]",10236.85,9755.4,128,5,15
129,"[{'id': 136, 'title': 'Vivo X21', 'price': 499.99, 'quantity': 4, 'total': 1999.96, 'discountPercentage': 17.41, 'discountedTotal': 1651.77, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/vivo-x21/thumbnail.webp'}, {'id': 52, 'title': 'Carbon Steel Wok', 'price': 29.99, 'quantity': 5, 'total': 149.95, 'discountPercentage': 6.53, 'discountedTotal': 140.16, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp'}, {'id': 21, 'title': 'Cucumber', 'price': 1.49, 'quantity': 1, 'total': 1.49, 'discountPercentage': 0.16, 'discountedTotal': 1.49, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp'}, {'id': 162, 'title': 'Blue Frock', 'price': 29.99, 'quantity': 1, 'total': 29.99, 'discountPercentage': 12.13, 'discountedTotal': 26.35, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp'}, {'id': 18, 'title': 'Cat Food', 'price': 8.99, 'quantity': 5, 'total': 44.95, 'discountPercentage': 9.58, 'discountedTotal': 40.64, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp'}, {'id': 59, 'title': 'Glass', 'price': 4.99, 'quantity': 4, 'total': 19.96, 'discountPercentage': 7.92, 'discountedTotal': 18.38, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp'}]",2246.3,1878.79,129,6,20
130,"[{'id': 65, 'title': 'Lunch Box', 'price': 12.99, 'quantity': 2, 'total': 25.98, 'discountPercentage': 10.34, 'discountedTotal': 23.29, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp'}, {'id': 15, 'title': 'Wooden Bathroom Sink With Mirror', 'price': 799.99, 'quantity': 2, 'total': 1599.98, 'discountPercentage': 8.8, 'discountedTotal': 1459.18, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp'}, {'id': 167, 'title': '300 Touring', 'price': 28999.99, 'quantity': 1, 'total': 28999.99, 'discountPercentage': 3.98, 'discountedTotal': 27845.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/vehicle/300-touring/thumbnail.webp'}]",30625.95,29328.26,130,3,5
131,"[{'id': 93, 'title': 'Brown Leather Belt Watch', 'price': 89.99, 'quantity': 5, 'total': 449.95, 'discountPercentage': 5.99, 'discountedTotal': 423, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp'}, {'id': 65, 'title': 'Lunch Box', 'price': 12.99, 'quantity': 2, 'total': 25.98, 'discountPercentage': 10.34, 'discountedTotal': 23.29, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp'}, {'id': 90, 'title': 'Puma Future Rider Trainers', 'price': 89.99, 'quantity': 2, 'total': 179.98, 'discountPercentage': 4.2, 'discountedTotal': 172.42, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp'}, {'id': 133, 'title': 'Samsung Galaxy S10', 'price': 699.99, 'quantity': 4, 'total': 2799.96, 'discountPercentage': 5.59, 'discountedTotal': 2643.44, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp'}, {'id': 35, 'title': 'Potatoes', 'price': 2.29, 'quantity': 3, 'total': 6.87, 'discountPercentage': 5.38, 'discountedTotal': 6.5, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp'}, {'id': 10, 'title': 'Gucci Bloom Eau de', 'price': 79.99, 'quantity': 3, 'total': 239.96999999999997, 'discountPercentage': 14.39, 'discountedTotal': 205.44, 'thumbnail': 'https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp'}]",3702.71,3474.09,131,6,19
132,"[{'id': 51, 'title': 'Boxed Blender', 'price': 39.99, 'quantity': 3, 'total': 119.97, 'discountPercentage': 7.26, 'discountedTotal': 111.26, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp'}, {'id': 179, 'title': 'Corset With Black Skirt', 'price': 79.99, 'quantity': 1, 'total': 79.99, 'discountPercentage': 15.06, 'discountedTotal': 67.94, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp'}, {'id': 51, 'title': 'Boxed Blender', 'price': 39.99, 'quantity': 4, 'total': 159.96, 'discountPercentage': 7.26, 'discountedTotal': 148.35, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp'}, {'id': 12, 'title': 'Annibale Colombo Sofa', 'price': 2499.99, 'quantity': 5, 'total': 12499.949999999999, 'discountPercentage': 14.4, 'discountedTotal': 10699.96, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp'}, {'id': 65, 'title': 'Lunch Box', 'price': 12.99, 'quantity': 4, 'total': 51.96, 'discountPercentage': 10.34, 'discountedTotal': 46.59, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp'}, {'id': 134, 'title': 'Vivo S1', 'price': 249.99, 'quantity': 2, 'total': 499.98, 'discountPercentage': 10.17, 'discountedTotal': 449.13, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/vivo-s1/thumbnail.webp'}]",13411.81,11523.23,132,6,19
133,"[{'id': 176, 'title': 'Women Handbag Black', 'price': 59.99, 'quantity': 2, 'total': 119.98, 'discountPercentage': 11.63, 'discountedTotal': 106.03, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp'}, {'id': 176, 'title': 'Women Handbag Black', 'price': 59.99, 'quantity': 4, 'total': 239.96, 'discountPercentage': 11.63, 'discountedTotal': 212.05, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp'}, {'id': 152, 'title': 'Tennis Racket', 'price': 49.99, 'quantity': 4, 'total': 199.96, 'discountPercentage': 19.61, 'discountedTotal': 160.75, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/tennis-racket/thumbnail.webp'}, {'id': 190, 'title': 'IWC Ingenieur Automatic Steel', 'price': 4999.99, 'quantity': 1, 'total': 4999.99, 'discountPercentage': 9.45, 'discountedTotal': 4527.49, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/thumbnail.webp'}, {'id': 78, 'title': 'Apple MacBook Pro 14 Inch Space Grey', 'price': 1999.99, 'quantity': 2, 'total': 3999.98, 'discountPercentage': 4.69, 'discountedTotal': 3812.38, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp'}]",9559.87,8818.7,133,5,13
134,"[{'id': 126, 'title': 'Oppo F19 Pro Plus', 'price': 399.99, 'quantity': 3, 'total': 1199.97, 'discountPercentage': 18.64, 'discountedTotal': 976.3, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/thumbnail.webp'}, {'id': 103, 'title': 'Apple HomePod Mini Cosmic Grey', 'price': 99.99, 'quantity': 3, 'total': 299.96999999999997, 'discountPercentage': 18.1, 'discountedTotal': 245.68, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp'}, {'id': 173, 'title': ""Heshe Women's Leather Bag"", 'price': 129.99, 'quantity': 3, 'total': 389.97, 'discountPercentage': 3.87, 'discountedTotal': 374.88, 'thumbnail': ""https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/thumbnail.webp""}, {'id': 183, 'title': 'Green Oval Earring', 'price': 24.99, 'quantity': 3, 'total': 74.97, 'discountPercentage': 15.18, 'discountedTotal': 63.59, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp'}, {'id': 104, 'title': 'Apple iPhone Charger', 'price': 19.99, 'quantity': 3, 'total': 59.97, 'discountPercentage': 18.52, 'discountedTotal': 48.86, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp'}, {'id': 34, 'title': 'Nescafe Coffee', 'price': 7.99, 'quantity': 4, 'total': 31.96, 'discountPercentage': 1.59, 'discountedTotal': 31.45, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp'}]",2056.81,1740.76,134,6,19
135,"[{'id': 150, 'title': 'Metal Baseball Bat', 'price': 29.99, 'quantity': 2, 'total': 59.98, 'discountPercentage': 19.51, 'discountedTotal': 48.28, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/metal-baseball-bat/thumbnail.webp'}, {'id': 188, 'title': 'Pampi Shoes', 'price': 29.99, 'quantity': 2, 'total': 59.98, 'discountPercentage': 14.14, 'discountedTotal': 51.5, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-shoes/pampi-shoes/thumbnail.webp'}, {'id': 100, 'title': 'Apple Airpods', 'price': 129.99, 'quantity': 5, 'total': 649.95, 'discountPercentage': 15.54, 'discountedTotal': 548.95, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp'}, {'id': 188, 'title': 'Pampi Shoes', 'price': 29.99, 'quantity': 4, 'total': 119.96, 'discountPercentage': 14.14, 'discountedTotal': 103, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-shoes/pampi-shoes/thumbnail.webp'}]",889.87,751.73,135,4,13
136,"[{'id': 177, 'title': ""Black Women's Gown"", 'price': 129.99, 'quantity': 2, 'total': 259.98, 'discountPercentage': 10.48, 'discountedTotal': 232.73, 'thumbnail': ""https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp""}, {'id': 65, 'title': 'Lunch Box', 'price': 12.99, 'quantity': 2, 'total': 25.98, 'discountPercentage': 10.34, 'discountedTotal': 23.29, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp'}, {'id': 166, 'title': 'Tartan Dress', 'price': 39.99, 'quantity': 3, 'total': 119.97, 'discountPercentage': 12.95, 'discountedTotal': 104.43, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp'}]",405.93,360.45,136,3,7
137,"[{'id': 43, 'title': 'Decoration Swing', 'price': 59.99, 'quantity': 3, 'total': 179.97, 'discountPercentage': 10.41, 'discountedTotal': 161.24, 'thumbnail': 'https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp'}, {'id': 87, 'title': 'Men Check Shirt', 'price': 27.99, 'quantity': 5, 'total': 139.95, 'discountPercentage': 11.38, 'discountedTotal': 124.02, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp'}, {'id': 56, 'title': 'Electric Stove', 'price': 49.99, 'quantity': 2, 'total': 99.98, 'discountPercentage': 14.04, 'discountedTotal': 85.94, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp'}, {'id': 113, 'title': 'Generic Motorcycle', 'price': 3999.99, 'quantity': 3, 'total': 11999.97, 'discountPercentage': 12.1, 'discountedTotal': 10547.97, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp'}, {'id': 158, 'title': 'Sunglasses', 'price': 22.99, 'quantity': 1, 'total': 22.99, 'discountPercentage': 1.51, 'discountedTotal': 22.64, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/thumbnail.webp'}]",12442.86,10941.81,137,5,14
138,"[{'id': 117, 'title': 'Sportbike Motorcycle', 'price': 7499.99, 'quantity': 2, 'total': 14999.98, 'discountPercentage': 11.58, 'discountedTotal': 13262.98, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp'}, {'id': 146, 'title': 'Feather Shuttlecock', 'price': 5.99, 'quantity': 5, 'total': 29.950000000000003, 'discountPercentage': 2.95, 'discountedTotal': 29.07, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp'}]",15029.93,13292.05,138,2,7
139,"[{'id': 62, 'title': 'Ice Cube Tray', 'price': 5.99, 'quantity': 2, 'total': 11.98, 'discountPercentage': 0.63, 'discountedTotal': 11.9, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp'}, {'id': 139, 'title': 'Baseball Glove', 'price': 24.99, 'quantity': 1, 'total': 24.99, 'discountPercentage': 2.9, 'discountedTotal': 24.27, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/baseball-glove/thumbnail.webp'}]",36.97,36.17,139,2,3
140,"[{'id': 87, 'title': 'Men Check Shirt', 'price': 27.99, 'quantity': 1, 'total': 27.99, 'discountPercentage': 11.38, 'discountedTotal': 24.8, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp'}, {'id': 58, 'title': 'Fork', 'price': 3.99, 'quantity': 4, 'total': 15.96, 'discountPercentage': 8.07, 'discountedTotal': 14.67, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp'}, {'id': 88, 'title': 'Nike Air Jordan 1 Red And Black', 'price': 149.99, 'quantity': 4, 'total': 599.96, 'discountPercentage': 4.12, 'discountedTotal': 575.24, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp'}]",643.91,614.71,140,3,9
141,"[{'id': 161, 'title': 'Samsung Galaxy Tab White', 'price': 349.99, 'quantity': 5, 'total': 1749.95, 'discountPercentage': 18.2, 'discountedTotal': 1431.46, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp'}, {'id': 35, 'title': 'Potatoes', 'price': 2.29, 'quantity': 5, 'total': 11.45, 'discountPercentage': 5.38, 'discountedTotal': 10.83, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp'}, {'id': 160, 'title': 'Samsung Galaxy Tab S8 Plus Grey', 'price': 599.99, 'quantity': 2, 'total': 1199.98, 'discountPercentage': 13.31, 'discountedTotal': 1040.26, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp'}, {'id': 110, 'title': 'Selfie Lamp with iPhone', 'price': 14.99, 'quantity': 2, 'total': 29.98, 'discountPercentage': 19.4, 'discountedTotal': 24.16, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp'}]",2991.36,2506.71,141,4,14
142,"[{'id': 159, 'title': 'iPad Mini 2021 Starlight', 'price': 499.99, 'quantity': 2, 'total': 999.98, 'discountPercentage': 3.64, 'discountedTotal': 963.58, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp'}, {'id': 187, 'title': 'Golden Shoes Woman', 'price': 49.99, 'quantity': 4, 'total': 199.96, 'discountPercentage': 13.93, 'discountedTotal': 172.11, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-shoes/golden-shoes-woman/thumbnail.webp'}, {'id': 112, 'title': 'TV Studio Camera Pedestal', 'price': 499.99, 'quantity': 2, 'total': 999.98, 'discountPercentage': 8.31, 'discountedTotal': 916.88, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/thumbnail.webp'}, {'id': 51, 'title': 'Boxed Blender', 'price': 39.99, 'quantity': 5, 'total': 199.95000000000002, 'discountPercentage': 7.26, 'discountedTotal': 185.43, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp'}, {'id': 5, 'title': 'Red Nail Polish', 'price': 8.99, 'quantity': 4, 'total': 35.96, 'discountPercentage': 11.44, 'discountedTotal': 31.85, 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp'}, {'id': 102, 'title': 'Apple Airpower Wireless Charger', 'price': 79.99, 'quantity': 3, 'total': 239.96999999999997, 'discountPercentage': 4.48, 'discountedTotal': 229.22, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/thumbnail.webp'}]",2675.8,2499.07,142,6,20
143,"[{'id': 149, 'title': 'Iron Golf', 'price': 49.99, 'quantity': 3, 'total': 149.97, 'discountPercentage': 6.53, 'discountedTotal': 140.18, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/thumbnail.webp'}, {'id': 150, 'title': 'Metal Baseball Bat', 'price': 29.99, 'quantity': 4, 'total': 119.96, 'discountPercentage': 19.51, 'discountedTotal': 96.56, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/metal-baseball-bat/thumbnail.webp'}, {'id': 80, 'title': 'Huawei Matebook X Pro', 'price': 1399.99, 'quantity': 5, 'total': 6999.95, 'discountPercentage': 9.38, 'discountedTotal': 6343.35, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp'}, {'id': 12, 'title': 'Annibale Colombo Sofa', 'price': 2499.99, 'quantity': 4, 'total': 9999.96, 'discountPercentage': 14.4, 'discountedTotal': 8559.97, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp'}, {'id': 166, 'title': 'Tartan Dress', 'price': 39.99, 'quantity': 3, 'total': 119.97, 'discountPercentage': 12.95, 'discountedTotal': 104.43, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp'}, {'id': 92, 'title': 'Sports Sneakers Off White Red', 'price': 109.99, 'quantity': 2, 'total': 219.98, 'discountPercentage': 0.04, 'discountedTotal': 219.89, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp'}]",17609.79,15464.38,143,6,21
144,"[{'id': 12, 'title': 'Annibale Colombo Sofa', 'price': 2499.99, 'quantity': 1, 'total': 2499.99, 'discountPercentage': 14.4, 'discountedTotal': 2139.99, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp'}, {'id': 132, 'title': 'Samsung Galaxy S8', 'price': 499.99, 'quantity': 3, 'total': 1499.97, 'discountPercentage': 19.45, 'discountedTotal': 1208.23, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s8/thumbnail.webp'}, {'id': 35, 'title': 'Potatoes', 'price': 2.29, 'quantity': 4, 'total': 9.16, 'discountPercentage': 5.38, 'discountedTotal': 8.67, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp'}, {'id': 71, 'title': 'Silver Pot With Glass Cap', 'price': 39.99, 'quantity': 3, 'total': 119.97, 'discountPercentage': 5.7, 'discountedTotal': 113.13, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp'}, {'id': 156, 'title': 'Green and Black Glasses', 'price': 34.99, 'quantity': 4, 'total': 139.96, 'discountPercentage': 1.01, 'discountedTotal': 138.55, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/thumbnail.webp'}]",4269.05,3608.57,144,5,15
145,"[{'id': 152, 'title': 'Tennis Racket', 'price': 49.99, 'quantity': 4, 'total': 199.96, 'discountPercentage': 19.61, 'discountedTotal': 160.75, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/tennis-racket/thumbnail.webp'}, {'id': 52, 'title': 'Carbon Steel Wok', 'price': 29.99, 'quantity': 3, 'total': 89.97, 'discountPercentage': 6.53, 'discountedTotal': 84.09, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp'}, {'id': 129, 'title': 'Realme X', 'price': 299.99, 'quantity': 2, 'total': 599.98, 'discountPercentage': 6.95, 'discountedTotal': 558.28, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp'}, {'id': 146, 'title': 'Feather Shuttlecock', 'price': 5.99, 'quantity': 1, 'total': 5.99, 'discountPercentage': 2.95, 'discountedTotal': 5.81, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp'}, {'id': 77, 'title': 'Yellow Peeler', 'price': 5.99, 'quantity': 3, 'total': 17.97, 'discountPercentage': 12.48, 'discountedTotal': 15.73, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp'}, {'id': 10, 'title': 'Gucci Bloom Eau de', 'price': 79.99, 'quantity': 3, 'total': 239.96999999999997, 'discountPercentage': 14.39, 'discountedTotal': 205.44, 'thumbnail': 'https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp'}]",1153.84,1030.1,145,6,16
146,"[{'id': 137, 'title': 'American Football', 'price': 19.99, 'quantity': 2, 'total': 39.98, 'discountPercentage': 4.93, 'discountedTotal': 38.01, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/american-football/thumbnail.webp'}, {'id': 18, 'title': 'Cat Food', 'price': 8.99, 'quantity': 5, 'total': 44.95, 'discountPercentage': 9.58, 'discountedTotal': 40.64, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp'}, {'id': 172, 'title': ""Blue Women's Handbag"", 'price': 49.99, 'quantity': 4, 'total': 199.96, 'discountPercentage': 17.88, 'discountedTotal': 164.21, 'thumbnail': ""https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/thumbnail.webp""}, {'id': 151, 'title': 'Tennis Ball', 'price': 6.99, 'quantity': 2, 'total': 13.98, 'discountPercentage': 11.76, 'discountedTotal': 12.34, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/tennis-ball/thumbnail.webp'}, {'id': 102, 'title': 'Apple Airpower Wireless Charger', 'price': 79.99, 'quantity': 3, 'total': 239.96999999999997, 'discountPercentage': 4.48, 'discountedTotal': 229.22, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/thumbnail.webp'}, {'id': 76, 'title': 'Wooden Rolling Pin', 'price': 11.99, 'quantity': 2, 'total': 23.98, 'discountPercentage': 9.75, 'discountedTotal': 21.64, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp'}]",562.82,506.06,146,6,18
147,"[{'id': 42, 'title': 'Water', 'price': 0.99, 'quantity': 3, 'total': 2.9699999999999998, 'discountPercentage': 14.92, 'discountedTotal': 2.53, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp'}, {'id': 122, 'title': 'iPhone 6', 'price': 299.99, 'quantity': 1, 'total': 299.99, 'discountPercentage': 6.69, 'discountedTotal': 279.92, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp'}, {'id': 129, 'title': 'Realme X', 'price': 299.99, 'quantity': 3, 'total': 899.97, 'discountPercentage': 6.95, 'discountedTotal': 837.42, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp'}, {'id': 7, 'title': 'Chanel Coco Noir Eau De', 'price': 129.99, 'quantity': 5, 'total': 649.95, 'discountPercentage': 16.51, 'discountedTotal': 542.64, 'thumbnail': 'https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp'}, {'id': 107, 'title': 'Beats Flex Wireless Earphones', 'price': 49.99, 'quantity': 5, 'total': 249.95000000000002, 'discountPercentage': 5.73, 'discountedTotal': 235.63, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/beats-flex-wireless-earphones/thumbnail.webp'}]",2102.83,1898.14,147,5,17
148,"[{'id': 32, 'title': 'Milk', 'price': 3.49, 'quantity': 2, 'total': 6.98, 'discountPercentage': 13.74, 'discountedTotal': 6.02, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp'}, {'id': 111, 'title': 'Selfie Stick Monopod', 'price': 12.99, 'quantity': 5, 'total': 64.95, 'discountPercentage': 19.12, 'discountedTotal': 52.53, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp'}]",71.93,58.55,148,2,7
149,"[{'id': 117, 'title': 'Sportbike Motorcycle', 'price': 7499.99, 'quantity': 5, 'total': 37499.95, 'discountPercentage': 11.58, 'discountedTotal': 33157.46, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp'}, {'id': 101, 'title': 'Apple AirPods Max Silver', 'price': 549.99, 'quantity': 2, 'total': 1099.98, 'discountPercentage': 13.67, 'discountedTotal': 949.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/thumbnail.webp'}, {'id': 91, 'title': 'Sports Sneakers Off White & Red', 'price': 119.99, 'quantity': 5, 'total': 599.9499999999999, 'discountPercentage': 4.97, 'discountedTotal': 570.13, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp'}, {'id': 28, 'title': 'Ice Cream', 'price': 5.49, 'quantity': 5, 'total': 27.450000000000003, 'discountPercentage': 8.69, 'discountedTotal': 25.06, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp'}]",39227.33,34702.26,149,4,17
